sample_rssi_id,sample_id,sample_pos_id,name_beacon,mac_beacon,x,y,value_rssi
1,1,1,coconut,D4:75:D9:90:DB:D7,20,20,-78
2,1,1,beetroot,CF:85:EC:93:17:BA,20,20,-88
3,1,1,ice,CC:E9:4C:2A:96:DC,20,20,-92
4,2,9,coconut,D4:75:D9:90:DB:D7,20,560,-78
5,2,9,beetroot,CF:85:EC:93:17:BA,20,560,-78
6,2,9,ice,CC:E9:4C:2A:96:DC,20,560,-88
7,3,13,coconut,D4:75:D9:90:DB:D7,20,900,-87
8,3,13,beetroot,CF:85:EC:93:17:BA,20,900,-77
9,3,13,ice,CC:E9:4C:2A:96:DC,20,900,-78
10,4,18,coconut,D4:75:D9:90:DB:D7,20,1240,-93
11,4,18,beetroot,CF:85:EC:93:17:BA,20,1240,-88
12,4,18,ice,CC:E9:4C:2A:96:DC,20,1240,-74
13,5,23,coconut,D4:75:D9:90:DB:D7,20,1580,-93
14,5,23,beetroot,CF:85:EC:93:17:BA,20,1580,-92
15,5,23,ice,CC:E9:4C:2A:96:DC,20,1580,-79
16,6,25,coconut,D4:75:D9:90:DB:D7,20,1780,-98
17,6,25,ice,CC:E9:4C:2A:96:DC,20,1780,-88
18,7,30,coconut,D4:75:D9:90:DB:D7,20,2140,-88
19,7,30,ice,CC:E9:4C:2A:96:DC,20,2140,-93
20,8,7,coconut,D4:75:D9:90:DB:D7,80,380,-78
21,8,7,beetroot,CF:85:EC:93:17:BA,80,380,-76
22,8,7,ice,CC:E9:4C:2A:96:DC,80,380,-89
23,9,11,coconut,D4:75:D9:90:DB:D7,120,720,-77
24,9,11,beetroot,CF:85:EC:93:17:BA,120,720,-77
25,9,11,ice,CC:E9:4C:2A:96:DC,120,720,-78
26,10,15,coconut,D4:75:D9:90:DB:D7,120,1080,-88
27,10,15,beetroot,CF:85:EC:93:17:BA,120,1080,-74
28,10,15,ice,CC:E9:4C:2A:96:DC,120,1080,-69
29,11,20,coconut,D4:75:D9:90:DB:D7,120,1400,-90
30,11,20,beetroot,CF:85:EC:93:17:BA,120,1400,-87
31,11,20,ice,CC:E9:4C:2A:96:DC,120,1400,-77
32,12,4,coconut,D4:75:D9:90:DB:D7,200,200,-79
33,12,4,beetroot,CF:85:EC:93:17:BA,200,200,-77
34,12,4,ice,CC:E9:4C:2A:96:DC,200,200,-88
35,13,28,coconut,D4:75:D9:90:DB:D7,200,1860,-92
36,13,28,beetroot,CF:85:EC:93:17:BA,200,1860,-97
37,13,28,ice,CC:E9:4C:2A:96:DC,200,1860,-90
38,14,2,coconut,D4:75:D9:90:DB:D7,380,20,-94
39,14,2,beetroot,CF:85:EC:93:17:BA,380,20,-88
40,14,2,ice,CC:E9:4C:2A:96:DC,380,20,-79
41,15,6,coconut,D4:75:D9:90:DB:D7,380,380,-88
42,15,6,beetroot,CF:85:EC:93:17:BA,380,380,-88
43,15,6,ice,CC:E9:4C:2A:96:DC,380,380,-63
44,16,17,coconut,D4:75:D9:90:DB:D7,380,1100,-78
45,16,17,beetroot,CF:85:EC:93:17:BA,380,1100,-93
46,16,17,ice,CC:E9:4C:2A:96:DC,380,1100,-89
47,17,21,coconut,D4:75:D9:90:DB:D7,380,1430,-68
48,17,21,beetroot,CF:85:EC:93:17:BA,380,1430,-78
49,17,21,ice,CC:E9:4C:2A:96:DC,380,1430,-89
50,18,26,coconut,D4:75:D9:90:DB:D7,380,1780,-87
51,18,26,beetroot,CF:85:EC:93:17:BA,380,1780,-96
52,18,26,ice,CC:E9:4C:2A:96:DC,380,1780,-95
53,19,31,coconut,D4:75:D9:90:DB:D7,380,2140,-77
54,19,31,beetroot,CF:85:EC:93:17:BA,380,2140,-93
55,19,31,ice,CC:E9:4C:2A:96:DC,380,2140,-95
56,20,5,coconut,D4:75:D9:90:DB:D7,560,200,-88
57,20,5,beetroot,CF:85:EC:93:17:BA,560,200,-78
58,20,5,ice,CC:E9:4C:2A:96:DC,560,200,-88
59,21,19,coconut,D4:75:D9:90:DB:D7,560,1260,-88
60,21,19,beetroot,CF:85:EC:93:17:BA,560,1260,-88
61,21,19,ice,CC:E9:4C:2A:96:DC,560,1260,-92
62,22,29,coconut,D4:75:D9:90:DB:D7,560,1860,-89
63,22,29,beetroot,CF:85:EC:93:17:BA,560,1860,-92
64,22,29,ice,CC:E9:4C:2A:96:DC,560,1860,-94
65,23,10,coconut,D4:75:D9:90:DB:D7,640,560,-87
66,23,10,beetroot,CF:85:EC:93:17:BA,640,560,-63
67,23,10,ice,CC:E9:4C:2A:96:DC,640,560,-88
68,24,14,coconut,D4:75:D9:90:DB:D7,640,920,-72
69,24,14,beetroot,CF:85:EC:93:17:BA,640,920,-78
70,24,14,ice,CC:E9:4C:2A:96:DC,640,920,-67
71,25,24,coconut,D4:75:D9:90:DB:D7,640,1600,-63
72,25,24,beetroot,CF:85:EC:93:17:BA,640,1600,-89
73,25,24,ice,CC:E9:4C:2A:96:DC,640,1600,-95
74,26,3,coconut,D4:75:D9:90:DB:D7,740,20,-93
75,26,3,beetroot,CF:85:EC:93:17:BA,740,20,-93
76,26,3,ice,CC:E9:4C:2A:96:DC,740,20,-88
77,27,36,coconut,D4:75:D9:90:DB:D7,740,150,-89
78,27,36,beetroot,CF:85:EC:93:17:BA,740,150,-79
79,27,36,ice,CC:E9:4C:2A:96:DC,740,150,-92
80,28,8,coconut,D4:75:D9:90:DB:D7,740,380,-88
81,28,8,beetroot,CF:85:EC:93:17:BA,740,380,-77
82,28,8,ice,CC:E9:4C:2A:96:DC,740,380,-89
83,29,12,coconut,D4:75:D9:90:DB:D7,740,740,-89
84,29,12,beetroot,CF:85:EC:93:17:BA,740,740,-74
85,29,12,ice,CC:E9:4C:2A:96:DC,740,740,-77
86,30,35,coconut,D4:75:D9:90:DB:D7,740,920,-89
87,30,35,beetroot,CF:85:EC:93:17:BA,740,920,-74
88,30,35,ice,CC:E9:4C:2A:96:DC,740,920,-73
89,31,16,coconut,D4:75:D9:90:DB:D7,740,1100,-78
90,31,16,beetroot,CF:85:EC:93:17:BA,740,1100,-78
91,31,16,ice,CC:E9:4C:2A:96:DC,740,1100,-88
92,32,34,coconut,D4:75:D9:90:DB:D7,740,1215,-74
93,32,34,beetroot,CF:85:EC:93:17:BA,740,1215,-93
94,32,34,ice,CC:E9:4C:2A:96:DC,740,1215,-88
95,33,22,coconut,D4:75:D9:90:DB:D7,740,1430,-67
96,33,22,beetroot,CF:85:EC:93:17:BA,740,1430,-87
97,33,22,ice,CC:E9:4C:2A:96:DC,740,1430,-93
98,34,27,coconut,D4:75:D9:90:DB:D7,740,1780,-79
99,34,27,beetroot,CF:85:EC:93:17:BA,740,1780,-92
100,34,27,ice,CC:E9:4C:2A:96:DC,740,1780,-97
101,35,33,coconut,D4:75:D9:90:DB:D7,740,2140,-89
102,35,33,beetroot,CF:85:EC:93:17:BA,740,2140,-74
103,35,33,ice,CC:E9:4C:2A:96:DC,740,2140,-60
104,36,32,coconut,D4:75:D9:90:DB:D7,740,2140,-77
105,36,32,beetroot,CF:85:EC:93:17:BA,740,2140,-97
106,36,32,ice,CC:E9:4C:2A:96:DC,740,2140,-94
